DATE,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-CLDD-NORMAL,MLY-DUTR-NORMAL,MLY-DUTR-STDDEV,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-PRCP-50PCTL,MLY-PRCP-75PCTL,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-PRCP-NORMAL,MLY-TAVG-NORMAL,MLY-TAVG-STDDEV,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-LSTH032,MLY-TMAX-NORMAL,MLY-TMAX-STDDEV,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TMIN-NORMAL,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-TMIN-STDDEV,MONTH
1,190.0,103.0,50.0,35.0,18.0,1.0,-7777.0,5.0,25.8,3.9,308.0,190.0,103.0,50.0,35.0,18.0,5.0,1.0,-7777.0,244.0,214.0,22.0,59.0,128.0,229.0,277.0,353.0,495.0,0.83,1.48,2.76,7.2,3.9,1.2,0.8,2.2,49.2,3.0,299.0,25.8,185.0,90.0,8.0,0.0,0.0,0.1,62.1,4.1,0.0,1.0,15.0,11.9,203.0,275.0,302.0,310.0,36.3,298.0,570.0,839.0,967.0,997.0,1000.0,2.9,Jan
2,228.0,132.0,68.0,49.0,29.0,3.0,1.0,11.0,25.3,3.8,349.0,228.0,132.0,68.0,49.0,29.0,11.0,3.0,1.0,262.0,231.0,10.0,29.0,73.0,148.0,186.0,250.0,373.0,1.0,2.0,3.23,6.9,3.2,1.2,0.3,2.31,52.1,3.4,273.0,25.3,195.0,99.0,17.0,0.1,0.0,0.1,64.8,4.6,0.0,0.0,4.0,7.9,152.0,239.0,264.0,280.0,39.4,103.0,327.0,614.0,867.0,973.0,999.0,3.2,Feb
3,446.0,306.0,185.0,146.0,98.0,13.0,6.0,42.0,25.2,2.7,596.0,446.0,306.0,185.0,146.0,98.0,42.0,13.0,6.0,428.0,385.0,1.0,6.0,21.0,55.0,77.0,123.0,222.0,1.68,2.61,3.82,9.7,4.5,1.9,0.9,2.78,59.2,3.1,310.0,30.5,275.0,194.0,56.0,0.2,0.0,0.0,71.8,3.1,0.0,0.0,1.0,2.2,96.0,198.0,270.0,308.0,46.6,10.0,73.0,242.0,494.0,761.0,928.0,3.6,Mar
4,668.0,519.0,373.0,318.0,240.0,53.0,32.0,130.0,25.1,4.0,817.0,668.0,519.0,373.0,318.0,240.0,130.0,53.0,32.0,594.0,543.0,-7777.0,-7777.0,2.0,6.0,10.0,22.0,63.0,0.91,1.68,3.04,6.5,3.9,1.2,0.3,2.27,67.3,2.9,300.0,29.9,296.0,277.0,167.0,1.3,0.2,0.0,79.8,2.8,0.0,0.0,0.0,0.2,26.0,99.0,193.0,287.0,54.7,0.0,0.0,0.0,48.0,189.0,453.0,4.1,Apr
5,936.0,781.0,626.0,564.0,471.0,181.0,134.0,319.0,23.0,2.3,1091.0,936.0,781.0,626.0,564.0,471.0,319.0,181.0,134.0,804.0,744.0,0.0,0.0,0.0,-7777.0,-7777.0,-7777.0,3.0,1.73,3.85,6.12,6.2,3.9,1.8,1.0,4.05,75.2,2.4,310.0,31.0,310.0,309.0,273.0,9.3,0.0,0.0,86.7,2.8,0.0,0.0,0.0,0.0,1.0,15.0,89.0,250.0,63.7,0.0,0.0,0.0,0.0,0.0,0.0,2.5,May
6,1081.0,931.0,781.0,721.0,631.0,331.0,272.0,481.0,22.3,2.8,1231.0,1081.0,931.0,781.0,721.0,631.0,481.0,331.0,272.0,894.0,834.0,0.0,0.0,0.0,0.0,0.0,0.0,-7777.0,2.28,3.68,6.65,6.6,4.7,2.7,1.2,4.63,81.0,2.2,300.0,30.0,300.0,300.0,297.0,20.6,1.4,0.0,92.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,158.0,69.9,0.0,0.0,0.0,0.0,0.0,0.0,1.9,Jun
7,1192.0,1037.0,882.0,820.0,727.0,417.0,355.0,572.0,23.5,3.1,1347.0,1192.0,1037.0,882.0,820.0,727.0,572.0,417.0,355.0,955.0,893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,2.21,3.2,6.9,4.8,1.7,0.8,2.44,83.4,1.9,310.0,31.0,310.0,310.0,308.0,26.7,5.6,0.0,95.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,71.7,0.0,0.0,0.0,0.0,0.0,0.0,1.3,Jul
8,1199.0,1044.0,889.0,827.0,735.0,425.0,363.0,580.0,24.9,1.8,1354.0,1199.0,1044.0,889.0,827.0,735.0,580.0,425.0,363.0,948.0,886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,1.74,2.58,5.6,3.4,1.5,0.5,2.03,83.7,1.6,310.0,31.0,310.0,310.0,307.0,28.9,4.9,0.0,96.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,92.0,71.3,0.0,0.0,0.0,0.0,0.0,0.0,1.4,Aug
9,985.0,835.0,685.0,625.0,536.0,246.0,193.0,388.0,25.1,3.2,1136.0,985.0,835.0,685.0,625.0,536.0,388.0,246.0,193.0,813.0,754.0,0.0,0.0,-7777.0,-7777.0,-7777.0,-7777.0,2.0,0.77,1.95,4.06,5.8,4.0,1.5,0.9,2.54,77.8,2.0,300.0,30.0,300.0,298.0,278.0,16.8,1.3,0.0,90.4,2.6,0.0,0.0,0.0,0.0,0.0,11.0,57.0,226.0,65.3,0.0,0.0,0.0,0.0,0.0,0.0,2.5,Sep
10,745.0,591.0,438.0,379.0,295.0,83.0,56.0,175.0,26.4,4.8,901.0,745.0,591.0,438.0,379.0,295.0,175.0,83.0,56.0,649.0,595.0,0.0,-7777.0,-7777.0,3.0,5.0,15.0,49.0,1.57,3.15,6.5,7.1,4.8,2.2,1.4,4.24,69.0,1.9,310.0,31.0,308.0,286.0,202.0,5.3,0.0,0.0,82.2,2.3,0.0,0.0,0.0,0.0,16.0,96.0,199.0,284.0,55.9,0.0,0.0,3.0,25.0,96.0,264.0,3.7,Oct
11,412.0,281.0,172.0,136.0,91.0,12.0,7.0,38.0,25.8,3.3,555.0,412.0,281.0,172.0,136.0,91.0,38.0,12.0,7.0,403.0,362.0,1.0,8.0,28.0,68.0,92.0,137.0,234.0,1.04,2.56,3.78,7.1,3.6,1.6,0.7,2.94,58.4,2.9,299.0,29.2,258.0,180.0,65.0,0.1,0.0,0.0,71.4,3.7,0.0,0.0,1.0,3.2,102.0,198.0,269.0,297.0,45.5,2.0,46.0,216.0,530.0,819.0,969.0,2.9,Nov
12,208.0,119.0,63.0,47.0,29.0,2.0,1.0,10.0,26.4,3.6,335.0,208.0,119.0,63.0,47.0,29.0,10.0,2.0,1.0,268.0,234.0,13.0,40.0,106.0,205.0,251.0,326.0,462.0,0.51,0.91,2.96,6.6,3.2,1.4,0.4,2.21,50.4,3.5,304.0,28.5,194.0,96.0,16.0,0.0,0.0,0.0,63.6,3.8,0.0,0.0,1.0,11.5,206.0,271.0,300.0,309.0,37.2,246.0,499.0,777.0,941.0,991.0,999.0,4.0,Dec
